Pulsar_Name	Period_P(s)	P_dot(s/s)	Summed_Mod_Index	Histogram_Peaks_Count	Single_Pulse_Peaks_80th_Percentile
J0034-0721	0.942951	4.082100e-16	0.6034	6	5.00
J0151-0635	1.464665	4.425914e-16	1.1840	3	3.00
J0152-1637	0.832742	1.299202e-15	0.4386	3	3.00
J0206-4028	0.630551	1.195965e-15	0.4304	2	2.00
J0304+1932	1.387584	1.295235e-15	0.6860	3	3.00
J0452-1759	0.548939	5.753107e-15	0.5774	4	5.00
J0525+1115	0.354438	7.360519e-17	0.3416	4	2.00
J0528+2200	3.745539	4.005298e-14	0.6676	5	4.00
J0543+2329	0.245975	1.542269e-14	0.5240	5	2.00
J0614+2229	0.334960	5.944944e-14	0.2968	2	2.00
J0629+2415	0.476623	1.995726e-15	0.3846	4	3.00
J0630-2834	1.244427	7.122959e-15	1.0215	6	7.00
J0729-1836	0.510176	1.895831e-14	0.5710	3	3.00
J0742-2822	0.166762	1.682112e-14	0.3504	3	2.00
J0758-1528	0.682265	1.618890e-15	0.2173	3	2.00
J0820-4114	0.545446	1.975472e-17	0.9062	5	2.00
J0837+0610	1.273768	6.799219e-15	0.3116	2	2.00
J0846-3533	1.116099	1.600694e-15	0.4892	6	3.00
J0908-1739	0.401626	6.695000e-16	0.2994	4	3.00
J0922+0638	0.430632	1.371637e-14	0.3199	4	3.00
J0944-1354	0.570264	4.525598e-17	0.2454	5	2.00
J0953+0755	0.253065	2.297588e-16	1.0754	6	6.00
J0959-4809	0.670086	8.517367e-17	0.6550	6	3.00
J1034-3224	1.150591	2.304573e-16	0.6905	4	4.00
J1116-4122	0.943165	7.965815e-15	0.5480	5	3.00
J1136+1551	1.187917	3.733864e-15	0.8819	4	3.00
J1239+2453	1.382449	9.600486e-16	0.6214	5	4.00
J1257-1027	0.617308	3.627009e-16	0.6337	2	2.00
J1527-3931	2.417605	1.906123e-14	0.6375	2	3.00
J1555-3134	0.518110	6.223192e-17	0.4528	3	2.00
J1559-4438	0.257057	1.021123e-15	0.2177	2	2.00
J1703-3241	1.211785	6.598286e-16	0.3798	4	3.00
J1709-1640	0.653061	6.309980e-15	0.5217	5	3.00
J1720-2933	0.620449	7.460004e-16	0.1961	4	3.00
J1722-3207	0.477158	6.451988e-16	1.0664	1	3.00
J1731-4744	0.829946	1.636354e-13	0.5565	3	3.00
J1733-2228	0.871683	4.270326e-17	1.3637	5	3.00
J1735-0724	0.419335	1.214735e-15	0.5142	4	2.00
J1740+1311	0.803052	1.451325e-15	0.3917	5	3.00
J1745-3040	0.367438	1.066748e-14	0.4556	3	3.00
J1748-1300	0.394134	1.212698e-15	0.1636	4	3.00
J1751-4657	0.742354	1.297869e-15	0.4224	2	2.00
J1752-2806	0.562567	8.129392e-15	0.4714	3	2.00
J1801-0357	0.921493	3.304425e-15	0.4456	1	1.00
J1807-0847	0.163727	2.879930e-17	2.4590	1	2.00
J1817-3618	0.387019	2.022983e-15	0.4990	3	2.00
J1820-0427	0.598083	6.325301e-15	0.4757	4	5.00
J1822-2256	1.874269	1.354392e-15	0.5532	4	3.00
J1823+0550	0.752907	2.267344e-16	0.4064	5	3.00
J1823-3106	0.284057	2.927086e-15	0.3935	3	2.00
J1834-0426	0.290108	7.194741e-17	0.1908	5	3.00
J1844+1454	0.375465	1.872303e-15	0.2641	2	2.00
J1849-0636	1.451362	4.624254e-14	0.7000	4	3.00
J1900-2600	0.612209	2.045337e-16	0.5872	5	5.00
J1901-0906	1.781929	1.638287e-15	0.6772	4	2.00
J1909+1102	0.283643	2.640293e-15	0.6117	2	1.00
J1910+0358	2.330266	4.471124e-15	0.3969	5	4.00
J1913-0440	0.825940	4.068056e-15	0.2947	4	2.00
J1917+1353	0.194637	7.198265e-15	0.1761	2	1.00
J1919+0021	1.272267	7.675070e-15	0.9424	3	2.00
J1921+1948	0.821036	8.955081e-16	0.4302	3	3.00
J1921+2153	1.337302	1.348207e-15	0.5694	2	3.00
J1932+1059	0.226519	1.156828e-15	0.4755	4	4.00
J1941-2602	0.402858	9.561486e-16	0.3136	3	1.00
J1946+1805	0.440618	2.409238e-17	0.6398	7	5.00
J2006-0807	0.580871	4.601281e-17	0.7889	6	5.00
J2046+1540	1.138286	1.823184e-16	1.0088	3	2.00
J2046-0421	1.546938	1.471483e-15	0.5760	5	2.00
J2048-1616	1.961585	1.095830e-14	0.6342	4	4.00
J2144-3933	8.509827	4.960000e-16	0.7303	1	1.00
J2305+3100	1.575886	2.892499e-15	0.8235	3	2.00
J2313+4253	0.349434	1.123699e-16	0.8358	3	3.00
J2317+2149	1.444653	1.047047e-15	0.8364	2	3.00
J2330-2005	1.643622	4.630379e-15	0.4381	5	3.00
J2346-0609	1.181463	1.363053e-15	1.1695	5	2.00
